z,temp,oxygen,solidflux,phi,density,temp_grad,xi_grad,j_grad,temp_fluc,xi_fluc,phi_fluc,density_fluc
1222547.5121586234,-5080.54318769694,-19295.222807742703,-3.1203223425072257e-07,0.004984241011819019,255242369.0985452,-0.0013369784887471245,1.0553105833016007e-07,5.108367021989916e-13,1284.3359965585926,256507416.88720176,-1278490.1993295518,255230211.02386877
1222566.2177328845,-5080.568197771571,-19295.222800314597,-3.120438929897899e-07,0.004984317015954797,255242349.4994927,-0.0013372892365405595,1.0554791377252576e-07,5.108481084698265e-13,1284.3390190972484,256507416.7884539,-1278509.6943919442,255230191.43308106
1222584.9233071457,-5080.593217358689,-19295.222790949098,-3.1205446050835193e-07,0.004984382559585826,255242332.5580016,-0.0013376511487724356,1.0556762933790132e-07,5.108577291820788e-13,1284.3420427855156,256507416.6639507,-1278526.5061385252,255230174.49985495
1222603.6288814067,-5080.618246951646,-19295.222757715936,-3.120594437766861e-07,0.004984394584318797,255242329.02874583,-0.001338575358248816,1.0561878397724663e-07,5.108582127989956e-13,1284.3450676830166,256507416.22215527,-1278529.5883585648,255230170.9788644
1222622.3344556678,-5080.643287087128,-19295.22274840145,-3.120700333536203e-07,0.004984460336135908,255242312.03453055,-0.0013389370096893998,1.056384831419927e-07,5.108678692637199e-13,1284.3480938546115,256507416.09833026,-1278546.4535095613,255230153.99291456
1222641.0400299288,-5080.668338261805,-19295.22273719602,-3.1207944174042343e-07,0.004984514766254969,255242297.91939294,-0.0013393504910074211,1.056610794401565e-07,5.108755931306548e-13,1284.3511213603251,256507415.94936737,-1278560.4144461518,255230139.8860426
1222659.7456041903,-5080.693400807894,-19295.222700488994,-3.1208224372160644e-07,0.004984505885332695,255242299.70662612,-0.0013403707992146949,1.057176034956953e-07,5.108725082146679e-13,1284.3541502403061,256507415.461391,-1278558.1339995812,255230141.68154165
1222678.4511784513,-5080.718475015392,-19295.22268933869,-3.120916741436593e-07,0.00498456052440249,255242285.5386229,-0.0013407840117292311,1.0574018271694157e-07,5.108802679359198e-13,1284.3571805296012,256507415.313161,-1278572.1485370032,255230127.5218045
1222697.1567527123,-5080.743561178535,-19295.222676934183,-3.121001973904256e-07,0.004984606468563029,255242273.5843315,-0.001341235157103437,1.057648819074292e-07,5.108865434645159e-13,1284.36021226377,256507415.14825776,-1278583.932690605,255230115.57577944
1222715.8623269734,-5080.768659608374,-19295.222637938346,-3.12101326944727e-07,0.004984581560704587,255242279.4523063,-0.0013423257509443817,1.0582533164334706e-07,5.108807228757999e-13,1284.3632454804044,256507414.6298544,-1278577.5410791219,255230121.45202076
1222734.5679012346,-5080.7937706201255,-19295.22262559197,-3.1210987222026405e-07,0.00498462771444237,255242267.44502854,-0.001342776621535476,1.0585001325460215e-07,5.108870343545756e-13,1284.3662802175982,256507414.465724,-1278589.3789944649,255230109.45300975
1222753.2734754956,-5080.818894575709,-19295.222611295572,-3.1211691328009854e-07,0.004984659452954006,255242259.1095572,-0.0013432848452864302,1.0587790045896368e-07,5.108908851401989e-13,1284.369316519091,256507414.27567035,-1278597.5191814569,255230101.1258054
